IDCODE	TYPE	SOURCE_ID (may include PMU or iPDC)	DESTINATION_ID (may include other iPDC)	UDPPORT	TCPPPORT	DATAINPUT(File or Auto generate)	FILENAME	DATA RATE	PROTOCOL(Which the source and destination would use to communicate with iPDC)
10	PMU	NA	300	30000	30001	AUTO	NA	50	NA
11	PMU	NA	300	30028	30003	AUTO	NA	50	NA
12	PMU	NA	300	30029	30004	AUTO	NA	50	NA
300	PDC	10::11::12	NA	8000	8001	NA	NA	50	NA
300	PDC	10	NA	NA	NA	NA	NA	NA	UDP
300	PDC	11	NA	NA	NA	NA	NA	NA	UDP
300	PDC	12	NA	NA	NA	NA	NA	NA	UDP
300	PDC	300	NA	NA	NA	NA	NA	NA	UDP
